Region,Countries Percentage after 1 Year
Aruba,0.8473476863753213
Afghanistan,0.05826959048029188
Angola,0.005504485924342558
Albania,0.3732386393554013
Andorra,2.164528926713924
United Arab Emirates,45.07456189183232
Argentina,23.914692870012594
Armenia,0.5814245649498884
American Samoa,0.9769361292234736
Antigua and Barbuda,1.2642328356006183
Australia,38.596186992457795
Austria,79.28603652592022
Azerbaijan,3.6408065165557155
Burundi,0.04251520389013214
Belgium,53.57311080895604
Benin,0.007041184160776196
Burkina Faso,0.01377982554603089
Bangladesh,3.5607214945223795
Bulgaria,16.47695125634978
Bahrain,51.84701443457212
Bahamas,0.4287612395097457
Bosnia and Herzegovina,13.273283045889418
Belarus,12.61983276178105
Belize,0.5328117448257363
Bermuda,0.8946078165287014
Bolivia,2.056418288442224
Brazil,12.706683130644311
Barbados,1.3319369458925636
Brunei Darussalam,4.336557102664056
Bhutan,0.22743316456364887
Botswana,1.8663889074284188
Central African Republic,0.02690311009178056
Canada,41.25613486234455
Switzerland,100.0
Chile,13.215319675762267
China,43.82010780612677
Cote d'Ivoire,0.002786352447306534
Cameroon,0.010198978920905048
DR Congo,0.001061537762936252
Congo Republic,0.04422239439737578
Colombia,6.70802431255645
Comoros,0.16807824690224873
Cabo Verde,0.21754826254826254
Costa Rica,23.280525280535816
Cuba,14.137285515327378
Curacao,0.657068175022426
Cayman Islands,0.7776766544768197
Cyprus,0.8363717756138533
Czechia,56.4769412904683
Germany,100.0
Djibouti,0.21623528061140815
Dominica,1.496389637102987
Denmark,99.06368397545677
Dominican Republic,19.316798018257053
Algeria,5.24426218935554
Ecuador,6.041433964283552
Egypt,7.123598499638089
Eritrea,0.03381983419348881
Spain,33.4888821345681
Estonia,27.78132047930151
Ethiopia,0.0014498595636278702
Finland,66.46688075939174
Fiji,0.5268017268177684
France,66.17967614629534
Faroe Islands,1.5399124036440084
"Micronesia, Fed. Sts.",3.456929732564237
Gabon,0.12023281050519788
United Kingdom,65.86160296181441
Georgia,7.889819556858569
Ghana,0.0036109410055738624
Gibraltar,2.14875
Guinea,0.01730647460483725
Gambia,0.06887062400100291
Guinea-Bissau,0.09952542347293095
Equatorial Guinea,0.10583853773660636
Greece,20.86013393168756
Grenada,1.6789478878088258
Greenland,1.710081712062257
Guatemala,8.05912275831211
Guam,0.6993809675366008
Guyana,0.45722493816588144
Hong Kong,4.027010225657635
Honduras,4.308093607575737
Croatia,20.806795088665613
Haiti,0.27887422491299413
Hungary,32.120714913875204
Indonesia,8.909575296030974
Isle of Man,1.4601029900332225
India,3.806920697577957
Ireland,100.0
Iran,9.610403238050697
Iraq,1.9772868825056855
Iceland,69.34854023397529
Israel,97.62509903744196
Italy,81.2543171847369
Jamaica,0.40625603365642177
Jordan,12.09168800892259
Japan,100.0
Kazakhstan,20.438685256556546
Kenya,0.0017500319219792317
Kyrgyz Republic,0.6908671958691743
Cambodia,4.147162518568973
Kiribati,1.213616531664212
St. Kitts and Nevis,2.542434889425114
South Korea,87.18603420364765
Kuwait,18.2343759403664
Laos,1.1763958490955908
Lebanon,0.07845240936601251
Liberia,0.0367600579920261
Libya,0.015627161594204617
